Assigned Annotation,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,BLK A,BLK B,BLK C,C1,C2,C3,C4,C5,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08
"1,11-Undecanedicarboxylic acid",287.021,271.056,279.145,105.73,382.175,34.281,29.999,29.119,NA,23.08,1.581,40.395,NA,36.021,36.433,46.83,42.561,41.045,75.721,82.548,102.714,80.814,105.819,104.897,97.497,103.729
"13,14-Dihydro-15-keto-tetranor prostaglandin F1beta",216.137,166.169,164.924,157.511,181.794,18.848,16.45,16.28,NA,11.249,NA,NA,107.431,20.214,15.283,19.53,27.186,23.753,59.581,54.317,71.659,57.257,54.533,55.33,56.825,55.176
"2,3-Dinor prostaglandin E1",9922.037,2517.561,4462.473,412.637,3375.338,736.91,690.1,682.568,548.232,488.479,558.37,515.945,562.428,1086.597,710.175,857.627,1144.625,901.175,1743.047,1669.702,1891.336,1636.239,1290.133,1266.961,1263.645,1317.335
2-Ethyl-2-hydroxybutyric acid,745.786,1120.458,886.442,31.619,1396,422.621,377.794,470.151,181.875,381.825,0.091,41.461,17.42,435.809,476.895,699.278,433.124,496.449,364.69,377.79,444.894,414.925,655.128,552.017,579.154,494.417
3-Hydroxyoctanoic acid,1546.079,1374.238,1446.907,NA,1988.506,2407.743,2252.471,2253.427,NA,2439.101,23.308,11.9,NA,2045.383,2488.442,3269.933,2046.296,2411.619,1598.068,1628.094,1969.197,1721.434,2220.817,2163.033,2265.032,2318.565
"6,15-Diketo-13,14-dihydro Prostaglandin F1alpha",2703.289,2329.487,2485.289,NA,3162.485,3935.015,3547.092,3673.605,7.174,3629.036,127.598,NA,NA,3258.008,4000.317,4890.523,3452.991,3829.915,2646.941,2568.034,3045.856,2734.92,3344.43,3411.424,3485.215,3550.118
"9S,11,15S-Trihydroxythromboxa-5Z,13E,17Z-trien-1-oic acid",358.314,237.283,292.189,4502.565,185.198,266.462,249.208,253.381,NA,229.378,NA,NA,NA,249.694,247.858,280.151,296.825,246.26,183.757,226.473,210.432,176.39,220.931,217.657,223.27,229.722
"9S,11R-Epidioxy-15S-hydroxy-13E-prostaenoic acid",329.103,153.659,248.36,1.578,328.919,38.273,35.796,38.034,0.528,27.706,33.767,40.18,14.215,88.839,47.888,70.041,98.565,80.797,89.821,96.142,104.257,90.068,114.875,113.066,110.169,111.166
Adenosine 5'-triphosphate,338.948,15.653,26.541,8.425,16.528,9.092,6.002,7.173,93.248,11.104,40.547,26.815,45.85,8.91,15.27,15.649,4.616,10.545,6.074,5.355,11.842,9.336,9.418,10.019,8.421,9.325
Azelaic acid,12465.195,10541.559,10978.593,13712.992,15870.134,1137.636,1007.809,974.085,1339.756,1264.337,5639.683,962.716,172.261,1283.084,1036.895,1517.122,1075.449,1151.803,3022.289,2945.074,3536.076,3172.388,5069.497,5019.993,4972.739,5333.818
Cholic acid,180.4,146.579,149.03,NA,250.928,284.648,267.546,259.505,NA,309.973,NA,NA,NA,211.364,281.815,377.654,205.603,263.068,175.123,180.221,214.678,192.3,261.52,260.478,272.703,278.228
DL-Phenylalanine,2205.222,1886.136,1948.081,0.792,3339.806,2391.551,2263.922,2259.616,1.732,2716.86,6.569,3.149,10.056,2788.07,3737.649,4892.49,2905.191,3179.044,1755.195,1769.679,2054.058,1867.501,2820.447,2886.479,2917.472,3014.822
L-Leucine,2613.716,2385.893,2343.695,167.066,3739.091,3388.661,3153.049,3199.047,26.448,3609.427,NA,8.386,NA,3116.376,4048.627,5341.245,3102.576,3593.742,2166.135,2192.703,2658.25,2347.148,3437.786,3393.098,3500.294,3632.716
L-Tyrosine,2935.057,2638.582,2412.152,931.259,4473.294,2646.425,2497.925,2563.39,725.474,3144.713,1280.401,1141.435,2200.92,3065.806,4299.946,5734.097,3263.238,3504.727,2094.953,2066.339,2478.681,2165.961,3462.118,3451.407,3541.379,3588.121
N-Acetyl-D-galactosamine 4-sulfate,199.926,167.39,188.722,0.317,112.003,322.47,291.406,281.715,31.262,129.371,0.045,0.004,1.044,295.82,244.46,196.962,367.609,292.752,221.676,235.585,233.825,214.115,237.696,243.536,222.899,229.289
Palmitelaidic acid,20.195,0.456,1.618,36839.964,10.247,36.761,23.779,22.883,48.272,30.954,40.752,55.72,19.257,41.572,43.019,54.005,61.137,41.68,22.471,48.899,55.196,46.346,32.906,34.467,39.917,38.653
Salicylic acid,11.608,6.955,5.749,33.564,32.315,30.038,30.709,32.956,115.448,42.903,29.038,28.594,18.292,36.498,56.554,76.615,23.608,35.334,20.181,14.879,21.438,18.862,28.656,22.672,24.069,30.455
Undecanedioic acid,2714.439,2193.407,2301.282,NA,3537.448,303.622,273.365,278.586,NA,281.513,60.738,64.684,3.309,332.24,372.644,463.114,330.731,354.97,662.068,675.052,807.529,716.278,1086.373,1049.79,1048.588,1114.898
