Assigned Annotation,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,BLK A,BLK B,BLK C,C1,C2,C3,C4,C5,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08
(+/-)-2-Hydroxyoctanoic acid,84.409,63.652,64.107,70.389,69.362,16.126,15.948,14.58,18.435,22.537,35.621,65.645,60.385,26.432,27.715,24.267,25.679,29.622,28.113,27.812,32.092,30.796,38.446,36.009,33.196,32.347
"(+/-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-eicosapentaenoic acid",273.333,165.418,162.707,167.689,166.419,417.96,399.069,416.146,531.062,424.701,NA,19.477,NA,437.779,417.923,413.818,409.386,414.304,366.007,360.002,427.644,420.311,364.525,408.436,388.426,346.743
(+-)-2-cis-4-trans-Abscisic acid,48.275,31.69,31.252,34.192,30.753,6.733,4.491,8.654,6.248,8.259,17.878,21.301,15.966,6.438,6.268,8.661,5.105,3.988,12.304,9.504,8.639,8.767,11.319,11.379,13.46,11.097
(2S)-OMPT,29.783,21.448,24.875,22.069,25.892,30.138,28.62,27.979,29.609,32.732,NA,NA,NA,28.643,28.342,29.457,30.224,32.3,23.011,28.499,25.911,25.359,24.493,30.001,30.538,29.855
(3-Phenylpropionyl)glycine,9.429,8.311,7.614,9.26,8.099,6.387,8.635,5.638,6.173,7.559,NA,NA,NA,8.644,9.256,8.18,9.752,9.982,7.644,7.646,8.224,7.992,7.971,7.432,6.808,7.444
alpha-Hydroxybutyric acid,39.462,27.766,24.333,26.999,27.109,6.745,7.397,6.761,7.459,9.423,NA,11.764,NA,7.857,9.169,7.544,10.811,9.307,11.378,14.079,14.285,11.026,14.226,11.571,12.241,10.482
beta-Estradiol 3-(beta-D-glucuronide),423.606,165.344,238.804,215.931,197.412,345.238,293.864,333.575,487.085,328.114,36.662,27.476,16.272,335.358,295.738,364.046,272.1,283.041,327.683,288.914,314.509,370.865,332.772,327.401,371.768,359.857
delta-CEHC,1.41,12.214,12.596,13.922,14.439,18.202,19.063,16.669,14.99,18.668,NA,NA,NA,16.088,16.178,16.456,20.569,21.417,19.968,20.994,13.134,15.518,14.354,17.627,14.002,12.75
omega-3 Arachidonic acid,110.909,138.531,117.897,134.207,131.699,7175.314,6898.919,6077.678,4034.945,6744.308,14.256,9.082,5.286,6434.19,6700.451,7584.089,7050.907,6375.499,3212.768,3332.5,3251.065,3443.653,3053.753,4044.207,3732.082,3326.254
11(12)-EET,903.619,708.722,747.451,770.117,710.639,4152.183,4369.34,3918.455,3230.974,4375.738,110.274,236.722,193.051,3671.438,4035.379,4172.855,4402.232,4082.611,3418.165,3625.49,3068.649,3122.105,3253.373,2912.429,3254.675,3036.551
"11,15-Dioxo-9S-hydroxy-5Z-prostenoic acid",1459.765,935.024,1005.663,977.241,962.953,1056.527,994.844,1075.471,1177.225,1042.147,748.053,652.653,131.312,987.062,1026.48,1074.356,1039.319,1071.42,918.063,916.284,944.781,964.502,937.279,1020.12,1110.175,1076.957
12(S)-HpEPE,72.032,38.437,53.019,63.501,54.932,355.571,344.303,270.933,271.494,395.768,NA,15.757,17.651,286.581,348.691,324.848,312.113,278.255,285.176,260.272,259.565,251.667,298.83,266.823,250.992,230.516
12(S)-Hydroxy-16-heptadecynoic acid,41.816,25.138,29.919,38.728,34.285,90.079,86.131,76.615,85.672,100.688,3.25,17.89,23.506,76.383,83.715,84.139,88.449,84.277,75.869,65.044,70.218,75.773,81.526,78.708,78.833,76.75
"12,13-DiHOME",2223.789,1698.258,1922.698,2069.686,1792.178,8140.965,8389.192,8084.059,7047.085,8033.093,937.554,1055.274,923.501,8415.816,8364.592,8256.323,8461.247,8290.169,6272.229,6897.424,6651.185,6638.588,6748.496,6601.967,6495.114,6156.178
12-Hydroxydodecanoic acid,492.277,356.26,376.84,378.619,400.721,416.397,433.186,438.191,452.583,448.466,30.581,45.833,47.553,448.807,421.651,417.409,419.769,414.038,400.861,411.738,412.906,404.648,404.465,409.781,416.515,407.858
"12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid",12.973,6.144,4.465,10.225,7.038,74.303,65.645,53.995,62.462,74.293,0.986,6.324,2.435,55.897,64.695,56.11,67.438,60.014,60.793,56.812,53.514,56.635,56.268,47.322,46.805,48.078
"13,14-Dihydro-15(R)-prostaglandin E1",1291.399,1045.337,1061.75,1166.383,1135.185,1411.072,1417.084,1258.632,1165.899,1498.949,72.38,50.135,43.789,1254.434,1381.966,1257.295,1421.754,1297.234,1340.451,1318.793,1233.383,1241.314,1326.854,1239.238,1240.128,1181.036
"13,14-Dihydroprostaglandin F1alpha",3652.735,3006.017,2840.224,3106.209,3040.986,4298.331,4254.861,3912.788,3721.785,4415.425,137.811,260.523,226.493,3776.654,4043.3,3700.225,4118.937,3964.563,3750.764,3612.361,3606.195,3448.447,3673.951,3693.955,3667.021,3379.484
"13S-Hydroperoxy-6Z,9Z,11E-octadecatrienoic acid",6285.997,4436.995,4655.131,5082.051,4970.847,9226.322,9145.324,8720.571,8733.902,9223.924,227.488,403.345,333.505,8543.092,8406.827,8095.009,8885.683,8560.462,7466.261,7766.776,7906.114,7755.202,7703.998,7442.877,7635.889,7424.514
"14,15-EE-(5Z)-E",606.324,654.019,572.945,623.284,632.222,4927.924,5066.056,4921.55,4657.8,5449.849,22.79,13.788,9.55,5261.122,5522.507,4973.726,5252.092,5216.26,3628.98,3716.889,3573.407,3572.672,3630.822,3710.548,3517.297,3482.209
"15(R),19(R)-Hydroxyprostaglandin F1alpha",2488.016,2011.209,1871.461,2199.704,2096.959,2356.536,2508.571,2238.063,2066.242,2527.322,287.415,6.919,4.827,2181.902,2337.459,2138.455,2425.74,2314.512,2156.673,2223.471,2151.569,2098.801,2141.992,2151.276,2084.214,1996.857
"15(R),19(R)-Hydroxyprostaglandin F2alpha",1923.404,1454.347,1418.707,1545.674,1516.86,1697.58,1718.456,1642.216,1593.024,1817.034,441.657,471.428,432.854,1598.753,1707.366,1650.979,1748.014,1728.376,1501.527,1648.938,1602.711,1532.502,1530.071,1595.721,1536.679,1479.849
15(S)-HpEDE,52.128,16.935,13.498,23.941,20.434,504.999,506.554,402.577,346.297,539.67,NA,NA,NA,438.749,506.807,452.656,575.762,468.579,332.443,329.948,294.394,309.046,351.322,319.541,321.418,291.236
15(S)-HpETE,113.647,63.505,74.323,83.383,73.697,389.478,383.344,366.731,376.67,412.309,NA,34.018,6.479,386.488,389.802,376.042,412.639,377.743,336.324,353.558,333.234,314.243,315.612,317.678,307.6,269.394
"16,16-Dimethylprostaglandin A1",486.599,370.637,381.53,429.555,411.8,1155.303,1140.721,1020.606,974.183,1241.669,0.144,12.349,9.075,1012.001,1111.382,1077.757,1179.218,1054.86,1026.629,926.49,905.079,905.337,952.923,934.907,895.657,840.562
"17,20,21-Trihydroxypregn-1-ene-3,11-dione",374.065,349.726,339.043,416.027,374.633,497.661,425.589,400.853,476.201,491.448,4.059,0.264,0.007,422.605,438.658,411.193,390.068,367.387,530.506,446.418,486.753,499.08,494.926,374.176,388.859,381.386
"17-Phenyl trinor-13,14-dihydroprostaglandin A2",7.783,7.743,6.826,7.744,7.287,9.478,10.629,10.228,7.862,10.521,NA,NA,NA,8.009,7.831,7.494,9.289,9.153,8.969,8.793,9.111,9.346,8.57,9.483,9.033,8.68
19(20)-EpDPE,135.518,92.212,86.653,107.021,101.151,1023.943,1073.549,929.718,895.71,1109.469,2.217,24.586,15.535,1047.997,1198.771,993.671,1100.402,1033.184,847.459,820.334,767.466,797.403,806.56,763.289,751.74,685.546
1-Octadecanoyl-sn-glycero-3-phosphoethanolamine,52.09,42.787,34.594,39.856,44.279,24.729,33.693,16.418,26.142,27.008,8.094,NA,NA,16.16,14.35,12.768,13.946,12.476,25.547,26.498,25.999,24.889,26.448,19.058,25.495,25.357
"2,2-Dimethylglutaric acid",90.771,57.685,57.699,64.112,56.821,5.719,4.717,5.377,6.071,6.195,46.568,28.212,40.376,5.995,5.798,5.768,6.1,5.063,19.187,18.819,17.687,18.286,21.578,18.272,17.959,20.215
"2,2'-Methylene-bis(6-tert-butyl-4 methylphenol)",112.075,82.9,72.693,84.855,83.402,0.508,1.23,0.497,0.639,0.57,122.449,0.152,NA,0.609,0.564,0.641,0.478,0.759,11.801,17.902,14.114,14.435,18.196,19.011,14.296,15.606
"2,3-Dimethylbenzoic acid",29.435,30.712,27.062,29.434,27.66,37.457,34.973,31.431,33.139,41.044,NA,NA,NA,37.921,34.923,34.684,35.629,37.374,29.567,36.627,34.977,34.79,36.428,35.862,38.904,34.027
"2,6-Di-tert-butyl-4-methoxyphenol",41.24,32.961,31.078,33.246,36.154,102.348,116.561,104.64,100.059,114.063,NA,7.16,8.619,110.281,112.353,116.308,104.378,101.098,100.415,92.8,92.205,90.911,81.922,91.513,91.827,75.713
"20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid",489.476,489.128,437.33,462.093,533.702,2333.325,2483.856,2278.806,2851.82,2544.003,NA,82.675,64.735,2771.223,2884.244,2424.554,2647.794,2634.506,2142.718,2027.004,2278.496,2342.233,2050.36,2461.618,1912.626,1726.606
2-Ethyl-2-hydroxybutyric acid,234.366,201.379,168.332,198.119,202.069,66.283,68.015,59.8,61.583,72.453,68.298,55.742,55.097,93.923,97.126,92.841,101.902,97.126,95.39,102.68,102.484,100.519,106.324,102.807,99.951,97.029
2-Methylbenzoic acid,1.883,1.934,2.122,2.169,2.292,3.23,3.98,2.558,3.153,3.633,NA,NA,NA,3.057,3.312,3.367,3.408,3.373,2.929,2.898,3.546,2.232,2.88,3.004,2.739,3.165
"2-Phenylethanol, sulfate",3.363,3.577,2.663,3.55,3.34,4.807,4.795,3.513,4.032,4.493,NA,NA,NA,4.278,4.331,3.96,4.128,4.411,4.625,4.153,4.049,4.571,4.401,4.23,4.089,4.1
2-Propyl-4-pentenoic acid,22.32,12.404,13.012,15.727,21.886,8.624,8.068,7.577,10.053,8.702,20.128,5.045,3.055,8.962,9.658,8.44,9.387,11.379,13.099,11.673,12.315,10.261,11.343,9.581,11.576,11.693
"3-(2,5-Dimethoxyphenyl)propanoic acid",1612.246,1007.64,1119.502,1001.756,1027.837,194.375,189.774,188.548,260.821,191.073,1151.192,937.176,806.011,207.634,196.307,189.726,190.57,203.956,373.098,398.495,446.286,428.767,443.035,427.59,466.037,462.303
3-Hydroxymyristic acid,72.573,61.828,66.58,67.341,67.822,62.23,71.302,65.759,72.612,65.541,3.495,96.196,84.052,70.345,69.778,61.067,72.277,67.252,68.43,68.52,63.033,63.422,68.977,65.3,62.328,62.107
3-Hydroxyoctadecanoic Acid,7798.195,7616.521,7349.358,8339.23,7983.969,30070.666,32515.352,30977.514,29272.874,32232.051,1372.836,2422.108,2300.96,28890.317,29394.752,30642.832,29294.54,28015.369,23438.233,25313.263,23467.959,25270.297,24156.962,25158.154,24909.582,23979.952
3-Hydroxyoctanoic acid,128.996,112.851,98.244,104.787,102.638,66.308,68.563,60.612,57.83,66.524,29.87,21.364,31.391,78.201,77.655,79.081,77.436,81.545,71.597,75.611,80.427,77.228,82.653,75.664,75.475,73.085
3-Phenoxypropionic acid,118.747,99.224,101.409,95.242,101.75,25.761,27.7,21.025,20.687,26.196,NA,NA,NA,54.825,54.775,49.69,54.917,56.122,51.388,51.439,47.083,44.5,48.292,54.518,45.882,46.502
4-(2-Hydroxyethyl)piperazine-1-ethanesulfonic acid,7.712,4.421,4.049,4.984,5.101,1.13,2.069,0.887,0.508,1.438,NA,NA,NA,1.234,1.691,1.055,2.152,1.906,2.734,1.963,2.096,2.435,2.986,1.925,1.958,1.199
"4-Benzyloxy-2'-hydroxy-3,4',6'-trimethoxychalcone",43.136,28.104,28.169,28.255,28.803,14.549,14.05,13.795,14.071,15.389,NA,NA,NA,8.071,8.849,8.226,8.607,7.558,14.619,14.362,15.752,15.758,13.553,15.437,14.598,15.542
4-Hydroxynonenal,52.717,38.261,38.362,41.644,35.242,3.444,3.311,3.447,3.785,2.997,10.38,1.525,1.967,3.71,4.54,4.058,4.841,5.118,9.567,10.107,9.835,11.879,11.988,10.56,10.319,9.614
4-Methoxyphenylacetic acid,6.006,4.16,4.369,4.623,4.616,6.499,4.653,6.617,4.136,6.144,NA,NA,NA,4.81,5.711,7.724,6.962,6.1,6.238,6.087,5.558,5.274,7.321,6.911,6.398,6.266
"4-Vinylphenol, sulfate",5.178,3.296,3.039,3.228,3.338,5.71,5.446,4.336,5.449,5.028,0.874,NA,4.979,6.825,6.061,6.131,6.653,6.864,4.882,4.183,4.76,5.089,5.467,4.493,4.644,4.846
"5,6-Dehydroarachidonic acid",NA,3.313,2.985,5.674,4.797,155.783,159.621,172.731,132.645,180.727,NA,22.317,28.54,185.303,192.419,200.943,180.454,192.05,109.307,107.708,85.632,77.799,82.99,95.512,82.179,89.842
5-Aminosalicylic acid,19.885,7.407,5.301,7.053,6.431,1.032,1.211,0.878,0.658,1.059,NA,NA,NA,1.353,2.006,1.543,1.994,1.716,2.637,2.396,2.39,1.764,2.65,2.373,2.238,1.749
"5S,6R-Dihydroxy-7E,9E,11Z,14Z-eicosatetraenoic acid",1206.211,835.523,815.654,850.394,889.315,1411.389,1446.046,1360.454,1401.883,1429.277,NA,28.092,20.355,1278.682,1336.718,1269.57,1324.599,1347.992,1214.78,1233.663,1260.142,1255.412,1306.825,1164.808,1213.005,1187.831
"5S-Hydroxy-6E,8Z,11Z-eicosatrienoic acid",464.73,436.265,387.48,411.109,422.186,2744.75,2852.023,2670.065,2605.429,2812.107,48.781,101.911,65.609,2807.48,2728.441,2648.418,2789.424,2733.464,2180.056,2161.574,2372.815,2169.209,2144.121,2193.856,2036,1915.352
"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic Acid",551.074,376.644,393.381,439.883,419.921,1361.123,1406.039,1224.307,1159.735,1512.419,NA,NA,NA,1248.023,1418.788,1268.603,1425.667,1353.522,1211.555,1083.068,1092.563,1097.957,1208.35,1121.042,1111.458,1065.818
7-Keto-8-aminopelargonic acid,1644.233,1299.854,1254.913,1472.944,1404.146,68.183,76.791,60.312,61.718,73.485,3131.895,78.655,39.505,60.19,68.174,62.643,71.65,66.829,359.645,333.981,352.158,354.281,363.076,344.174,333.014,312.717
"8,9-EE-(14Z)-E",387.608,393.794,382.805,419.53,425.406,4902.459,5101.554,4687.29,3515.246,5060.902,26.444,128.721,102.55,5029.551,5357.704,5075.069,5496.33,5139.268,3421.079,3182.832,2857.647,2803.908,2909.153,2926.664,3009.469,2917.057
8-Iso-16-cyclohexyl-tetranor prostaglandin E2,942.305,774.132,767.775,849.226,829.085,549.707,588.868,507.182,488.125,596.358,107.995,38.224,41.415,506.36,564.265,523.888,585.492,538.569,577.236,576.967,542.975,543.48,567.949,566.391,562.487,526.896
9(S)-HpOTrE,854.966,618.59,703.774,766.09,709.158,2837.826,2814.35,2877.105,2981.969,3084.667,83.356,444.832,426.239,3208.028,3133.632,3199.563,3107.002,3053.81,2816.345,2912.597,2754.899,2739.013,2673.307,2775.621,2653.61,2420.214
"9,12-Octadecadiynoic Acid",192.055,177.619,163.571,171.728,175.542,549.607,605.399,552.253,530.012,607.068,NA,NA,NA,543.779,583.435,554.657,567.536,567.87,507.157,499.593,505.586,482.351,449.338,464.778,465.305,419.496
"9-Hydroxy-10E,12Z-octadecadienoic acid",17034.64,12306.676,14535.918,15294.099,14214.748,104644.235,106544.326,109267.527,101410.509,109010.271,5976.134,6090.544,5107.955,108573.497,107751.103,105820.297,105128.042,106400.416,82947.363,87372.237,85156.322,87571.111,83288.663,87157.347,87170.268,82423.99
"9-Oxo-15S-hydroxy-10Z,13E-prostadienoic acid-cyclo[8S,12S]",779.732,483.502,557.568,592.082,555.534,1062.911,1021.438,1015.885,1011.021,1131.126,20.146,60.654,54.731,996.132,1068.08,1057.683,1042.44,988.427,939.294,891.256,880.727,882.602,875.538,988.032,948.639,931.028
9-OxoOTrE,328.772,231.783,267.634,279.553,247.986,1110.625,1115.37,1088.078,1095.336,1193.433,148.877,559.828,434.291,1226.923,1162.065,1199.142,1183.271,1148.518,1068.383,1061.806,1001.362,965.485,982.061,1017.174,1026.668,904.437
"9-Oxo-prosta-10,12Z,14E-trienoic acid",364.202,208.768,279.279,270.262,251.357,1467.106,1313.971,1330.702,1457.499,1311.289,115.344,227.176,98.453,1376.872,1347.911,1374.66,1268.045,1249.255,998.066,1106.494,1123.027,1132.769,1133.244,1226.051,1213.9,1119.365
"9S,11R,15S-Trihydroxy-13E-prostaenoic acid",1248.462,1065.75,992.103,1092.004,1084.511,1328.48,1451.769,1285.335,1294.081,1442.093,20.292,0.578,0.115,1238.492,1358.054,1194.279,1365.35,1334.576,1198.583,1201.166,1224.228,1224.141,1176.237,1216.583,1180.159,1115.019
"9S,11R,15S-Trihydroxy-20a,20b-dihomo-5Z,13E-prostadienoic acid",51.204,37.876,34.575,42.991,42.639,65.012,66.609,56.822,55.648,67.896,1.354,4.154,1.78,52.727,61.659,54.53,56.939,61.952,57.739,55.855,54.575,54.12,47.75,46.468,53.223,46.927
"9S,11R-Epidioxy-15S-hydroxy-13E-prostaenoic acid",848.468,722.495,604.967,716.793,693.242,898.114,1020.21,913.253,826.675,971.968,66.349,87.681,54.602,855.388,944.62,773.426,893.465,909.459,858.291,856.066,888.457,866.734,741.145,723.36,617.219,532.975
"9S,15S-Dihydroxy-5Z,13E-prostadienoic acid",542.321,381.213,396.619,487.318,434.911,1144.218,1078.461,956.597,945.032,1248.93,0.483,41.208,39.592,965.634,1088.214,1055.553,1112.975,1037.864,994.376,892.033,859.221,896.044,966.615,939.927,918.725,887.123
"9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid",1050.985,994.212,1059.442,1018.144,934.793,11057.095,13893.368,11654.609,11419.413,13246.45,364.789,499.236,419.195,11215.585,10733.225,12765.963,11210.935,11288.252,10047.993,11623.023,9579.822,9724.716,10409.511,8758.967,11494.765,9949.255
Azelaic acid,4475.344,3509.921,3588.663,3816.322,3776.902,500.149,522.59,457.399,567.816,508.759,2599.052,1814.683,1664.607,520.492,505.569,473.331,520.386,529.823,1152.874,1154.988,1282.835,1200.41,1275.856,1195.218,1264.656,1201.969
"Butanedioic acid, 2-(4,4-dimethyl-2-methylenepentyl)-",179.133,147.524,153.387,177.758,167.294,89.057,101.956,90.729,92.436,101.087,45.544,89.54,64.777,111.189,92.598,90.889,109.13,102.161,103.773,113.073,102.032,106.76,110.607,111.433,102.302,99.46
Carbocyclic thromboxane A2,320.443,344.57,298.541,351.72,335.727,5035.519,5113.878,4810.531,3935.76,5232.186,4.822,0.035,1.85,4831.858,5342.196,4800.6,5556.015,5072.706,3399.434,3374.307,3189.73,3373.598,3299.515,3403.248,3201.035,3225.035
Cholic acid,118.959,98.517,98.913,100.995,102.397,123.042,126.107,115.45,116.871,128.911,0.898,2.783,3.727,103.53,104.301,92.359,93.626,105.222,96.605,100.513,98.773,95.505,103.696,99.855,106.678,97.702
"cis-4,10,13,16-Docosatetraenoic acid",2.457,5.875,8.247,4.767,6.215,812.501,696.421,954.847,692.457,744.882,NA,NA,NA,1076.973,1031.828,974.586,981.573,871.828,1158.359,546.065,603.878,680.087,674.082,603.924,637.226,617.359
"cis-4,7,10,13,16,19-Docosahexaenoic acid",7.595,NA,NA,1.407,NA,839.713,832.396,835.103,539.387,783.544,NA,NA,NA,914.235,996.789,1009.505,1017.565,963.446,623.467,443.224,426.476,363.276,445.669,453.81,439.216,461.149
