Assigned Annotation,Compound,Neutral mass (Da),m/z,Retention time (min),Chromatographic peak width (min),Identifications,Assigned Annotation,Identifier,MSI Classification,Adducts,Formula,Score,Fragmentation Score,Abs Mass Error (ppm),Isotope Similarity,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Maximum Abundance,Minimum CV%
(+/-)-2-Hydroxyoctanoic acid,5.59_159.1022m/z,,159.1022,5.59,0.152,4,(.+/-.)-2-Hydroxyoctanoic acid,617-73-2,2,M-H,C8H16O3,45.5,38,2.7,92.8,3.02E-11,1.43E-12,4.016160784,A,B,70,7.62
"(+/-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-eicosapentaenoic acid",7.87_317.2103m/z,,317.2103,7.87,0.529,40,"(.+/-.)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-eicosapentaenoic acid",83952-40-3,2,M-H,C20H30O3,44.2,32.7,6.1,95,6.54E-10,2.61E-11,67.42991401,B,BLK,438,2.66
(+-)-2-cis-4-trans-Abscisic acid,6.01_263.1283m/z,,263.1283,6.01,0.225,5,(+-)-2-cis-4-trans-Abscisic acid,14375-45-2,2,M-H,C15H20O4,40.1,6.68,2.3,96.7,5.43E-11,2.48E-12,5.783478984,A,C,35,14.7
(2S)-OMPT,6.11_465.2462m/z,,465.2462,6.11,0.15,3,(2S)-OMPT,645408-61-3,2,M-H,C22H43O6PS,42.7,26.9,3.5,90.9,0,0,Infinity,B,BLK,30,5.31
(3-Phenylpropionyl)glycine,4.63_206.0817m/z,,206.0817,4.63,0.157,7,(3-Phenylpropionyl)glycine,56613-60-6,2,M-H,C11H13NO3,45.5,32.5,2.7,98.1,0,0,Infinity,C,BLK,9,5.74
alpha-Hydroxybutyric acid,1.81_103.0396m/z,,103.0396,1.81,0.198,5,.alpha.-Hydroxybutyric acid,20016-85-7,2,M-H,C4H8O3,54.1,81.3,4.5,94.5,1.62E-05,4.03E-07,7.429670215,A,BLK,29,12.57
beta-Estradiol 3-(beta-D-glucuronide),7.97_447.1966m/z,,447.1966,7.97,0.309,6,.beta.-Estradiol 3-(.beta.-D-glucuronide),15270-30-1,2,M-H,C24H32O8,40.5,21.2,13,95.2,1.90E-12,1.04E-13,13.34060391,B,BLK,358,8.62
delta-CEHC,7.65_249.1160m/z,,249.116,7.65,0.169,5,.delta.-CEHC,1221504-67-1,2,M-H,C14H18O4,44.6,40.7,10.9,94.1,1.08E-09,4.19E-11,Infinity,C,BLK,18,9.59
omega-3 Arachidonic acid,9.45_303.2327m/z,,303.2327,9.45,0.288,9,.omega.-3 Arachidonic acid,24880-40-8,2,M-H,C20H32O2,41.8,12.7,0.9,97.6,0,0,715.7062094,C,BLK,"6,829",7.31
11(12)-EET,8.16_319.2272m/z,,319.2272,8.16,0.862,25,11(12)-EET,123931-40-8,2,M-H,C20H32O3,48.2,47.4,2.2,96.4,0,0,22.62525408,C,BLK,"4,073",6.51
"11,15-Dioxo-9S-hydroxy-5Z-prostenoic acid",6.13_352.2231n,352.2231,351.2158,6.13,0.548,13,"11,15-Dioxo-9S-hydroxy-5Z-prostenoic acid",59894-07-4,2,"M-H, M+Cl",C20H32O5,45.3,41.1,5.3,91.7,0.002081782,4.35E-05,2.093792782,B,BLK,"1,069",3.45
12(S)-HpEPE,7.39_333.2062m/z,,333.2062,7.39,0.266,33,12(S)-HpEPE,103239-14-1,2,M-H,C20H30O4,47.5,47.3,2.8,93.6,3.34E-08,1.09E-09,29.41993549,B,BLK,328,8.05
12(S)-Hydroxy-16-heptadecynoic acid,7.22_281.2116m/z,,281.2116,7.22,0.368,1,12(S)-Hydroxy-16-heptadecynoic acid,148019-74-3,2,M-H,C17H30O3,42.2,17.8,2.3,95.9,1.27E-07,3.88E-09,5.902265944,B,BLK,88,5.23
"12,13-DiHOME",8.35_313.2379m/z,,313.2379,8.35,0.476,4,"12,13-DiHOME",263399-35-5,2,M-H,C18H34O4,55,80.2,1.8,97,0,0,8.597416475,C,BLK,"8,358",1.02
12-Hydroxydodecanoic acid,6.85_216.1721n,216.1721,215.1649,6.85,0.173,4,12-Hydroxydodecanoic acid,505-95-3,1,"M-H2O-H, M-H",C12H24O3,50.5,55.5,1.9,99.4,0,0,10.59399874,B,BLK,438,1.26
"12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid",7.75_279.1958m/z,,279.1958,7.75,0.315,2,"12S-Hydroxy-5Z,8E,10E-heptadecatrienoic acid",54397-84-1,2,M-H,C17H28O3,42.5,21.8,2.8,94.3,1.96E-12,1.07E-13,20.36146927,B,BLK,66,8.46
"13,14-Dihydro-15(R)-prostaglandin E1",6.82_355.2483m/z,,355.2483,6.82,1.515,5,"13,14-Dihydro-15(R)-prostaglandin E1",201848-10-4,2,M-H,C20H36O5,41.1,18.9,1.8,88.7,0,0,24.35895239,B,BLK,"1,350",4.46
"13,14-Dihydroprostaglandin F1alpha",6.26_357.2643m/z,,357.2643,6.26,0.838,1,"13,14-Dihydroprostaglandin F1.alpha.",20592-20-5,2,M-H,C20H38O5,40.8,6.13,0.9,98.9,0,0,19.7845168,B,BLK,"4,121",3.53
"13S-Hydroperoxy-6Z,9Z,11E-octadecatrienoic acid",6.60_310.2139n,310.2139,309.2067,6.6,1.185,5,"13S-Hydroperoxy-6Z,9Z,11E-octadecatrienoic acid",121107-97-9,2,"M-H2O-H, M-H",C18H30O4,40,5.82,1.5,96.1,0,0,28.02960997,B,BLK,"9,010",2.32
"14,15-EE-(5Z)-E",8.49_324.2660n,324.266,323.2588,8.49,0.358,4,"14,15-EE-(5Z)-E",519038-92-7,2,"M-H2O-H, M-H",C20H36O3,45.3,31.3,1.3,97,0,0,341.1174464,C,BLK,"5,245",2.34
"15(R),19(R)-Hydroxyprostaglandin F1alpha",5.38_371.2435m/z,,371.2435,5.38,1.904,4,"15(R),19(R)-Hydroxyprostaglandin F1.alpha.",oKV-fixVnF2YZjD,2,M-H,C20H36O6,40.9,17.3,1.1,88.7,2.68E-08,8.82E-10,23.4591325,B,BLK,"2,339",3.14
"15(R),19(R)-Hydroxyprostaglandin F2alpha",5.91_369.2274m/z,,369.2274,5.91,1.772,18,"15(R),19(R)-Hydroxyprostaglandin F2.alpha.",1224444-23-8,2,M-H,C20H34O6,42.2,18.3,2.4,95.7,0,0,3.775046463,B,BLK,"1,694",3.62
15(S)-HpEDE,8.58_339.2533m/z,,339.2533,8.58,0.505,6,15(S)-HpEDE,145375-41-3,2,M-H,C20H36O4,54.5,79.8,2.4,95.6,0,0,Infinity,C,BLK,489,6.31
15(S)-HpETE,7.70_335.2217m/z,,335.2217,7.7,0.434,36,15(S)-HpETE,70981-96-3,2,M-H,C20H32O4,49.7,55.5,3.2,96.6,3.03E-08,9.91E-10,28.78360499,C,BLK,389,3.77
"16,16-Dimethylprostaglandin A1",7.19_363.2531m/z,,363.2531,7.19,0.877,15,"16,16-Dimethylprostaglandin A1",41692-24-4,2,M-H,C22H36O4,41.6,17.5,2.6,93.7,6.69E-12,3.44E-13,153.9129785,B,BLK,"1,106",5.78
"17,20,21-Trihydroxypregn-1-ene-3,11-dione",7.49_361.1999m/z,,361.1999,7.49,0.653,8,"17,20,21-Trihydroxypregn-1-ene-3,11-dione",147202-58-2,2,M-H,C21H30O5,40.7,16.8,6,93.5,8.88E-16,7.51E-17,317.540557,B,BLK,458,6.87
